"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","Ошибка регистрации: не заполнено поле name","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","453","Ошибка регистрации: не заполнено поле email","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","372","Создание заказа без авторизации","tests","2026-01-27","passed","2026-01-27","TestOrderUser","test_reg_user","",""
"","444","Ошибка регистрации: не заполнено поле password","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","931","Ошибка: создание заказа без ингредиентов","tests","2026-01-27","passed","2026-01-27","TestOrderUser","test_reg_user","",""
"","567","Успешное создание пользователя","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","4546","Создание заказа с авторизацией","tests","2026-01-27","passed","2026-01-27","TestOrderUser","test_reg_user","",""
"","372","Ошибка входа с неверным логином и паролем","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","433","Ошибка при создании уже существующего пользователя","tests","2026-01-27","passed","2026-01-27","TestRegestrationUser","test_reg_user","",""
"","1077","Ошибка: создание заказа с неверным хешем ингредиентов","tests","2026-01-27","passed","2026-01-27","TestOrderUser","test_reg_user","",""
